Country,Director,Genre,Language,Metascore,Production,Rated,Runtime,Title,Year,imdbRating,month
UK,King Vidor,Drama,English,,MGM Home Entertainment,PASSED,110,The Citadel,1938,7.2,10
USA,Michael Curtiz,Drama,English,,Warner Brothers,Approved,90,Four Daughters,1938,7,8
USA,William Wyler,Drama,English,,MGM Home Entertainment,Approved,104,Jezebel,1938,7.5,3
UK,"Anthony Asquith, Leslie Howard",Comedy,English,,Criterion Collection,Not Rated,89,Pygmalion,1938,7.8,3
USA,Victor Fleming,Drama,English,,MGM,Passed,119,Test Pilot,1938,6.9,4
USA,Frank Capra,Comedy,English,,Columbia Pictures,Passed,126,You Can't Take It with You,1938,7.9,9
USA,Edmund Goulding,Drama,English,,Twentieth Century Fox Home Entertainment,Approved,104,Dark Victory,1939,7.6,4
USA,"Victor Fleming, George Cukor, Sam Wood",Drama,English,97,Loew&#39;s Inc.,Passed,238,Gone with the Wind,1939,8.1,1
UK,"Sam Wood, Sidney Franklin",Drama,English,,MGM Home Entertainment,Unrated,114,"Goodbye, Mr. Chips",1939,7.9,7
USA,Leo McCarey,Comedy,English,,Madacy Entertainment,Approved,88,Love Affair,1939,7.3,4
USA,Frank Capra,Comedy,English,73,ITVS,Not Rated,129,Mr. Smith Goes to Washington,1939,8.1,10
USA,Ernst Lubitsch,Comedy,English,,Warner Bros. Pictures,Not Rated,110,Ninotchka,1939,7.9,11
USA,Lewis Milestone,Drama,English,,United Artists,Approved,106,Of Mice and Men,1939,7.9,1
USA,John Ford,Adventure,English,93,Warner Home Video,Passed,96,Stagecoach,1939,7.9,3
USA,"Victor Fleming, George Cukor, Mervyn LeRoy, Norman Taurog, Richard Thorpe, King Vidor",Adventure,English,100,Warner Bros. Pictures,PG,102,The Wizard of Oz,1939,8,8
USA,William Wyler,Drama,English,,United Artists,Not Rated,104,Wuthering Heights,1939,7.6,4
USA,Anatole Litvak,Drama,English,,Warner Bros. Pictures,Approved,141,"All This, and Heaven Too",1940,7.6,7
USA,Alfred Hitchcock,Action,English,,Warner Home Video,Passed,120,Foreign Correspondent,1940,7.5,8
USA,John Ford,Drama,English,96,20th Century Fox Film Corporation,Passed,129,The Grapes of Wrath,1940,8,3
USA,Charles Chaplin,Comedy,English,,Criterion Collection,Passed,125,The Great Dictator,1940,8.5,3
USA,Sam Wood,Drama,English,,Media Home Entertainment,Approved,108,Kitty Foyle,1940,7,12
USA,William Wyler,Crime,English,,MGM Home Entertainment,Not Rated,95,The Letter,1940,7.6,11
USA,John Ford,Drama,English,,Criterion Collection,Approved,105,The Long Voyage Home,1940,7,11
USA,Sam Wood,Drama,English,,United Artists,NOT RATED,90,Our Town,1940,6.8,5
USA,George Cukor,Comedy,English,96,MGM,Not Rated,112,The Philadelphia Story,1940,7.9,1
USA,Alfred Hitchcock,Drama,English,,United Artists,Not Rated,130,Rebecca,1940,8.1,4
USA,Mervyn LeRoy,Biography,English,,WARNER BROTHERS PICTURES,Approved,99,Blossoms in the Dust,1941,6.9,8
USA,Orson Welles,Drama,English,100,RKO Radio Pictures,PG,119,Citizen Kane,1941,8.3,9
USA,Alexander Hall,Comedy,English,,Sony Pictures Entertainment,Not Rated,94,Here Comes Mr. Jordan,1941,7.6,8
USA,Mitchell Leisen,Drama,English,,Paramount Pictures,Not Rated,116,Hold Back the Dawn,1941,7.4,9
USA,John Ford,Drama,English,,Twentieth Century Fox Home Entertainment,Not Rated,118,How Green Was My Valley,1941,7.7,4
USA,William Wyler,Drama,English,,RKO,Approved,116,The Little Foxes,1941,8.2,8
USA,John Huston,Film-Noir,English,96,Warner Bros.,Not Rated,100,The Maltese Falcon,1941,8,10
USA,Irving Rapper,Biography,English,,Warner Bros.,Approved,108,One Foot in Heaven,1941,7,11
USA,Howard Hawks,Biography,English,,Warner Bros. Pictures,Not Rated,134,Sergeant York,1941,7.7,9
USA,Alfred Hitchcock,Mystery,English,83,WARNER BROTHERS PICTURES,Not Rated,99,Suspicion,1941,7.4,11
USA,Sam Wood,Drama,English,,Warner Home Video,Passed,127,Kings Row,1942,7.6,4
USA,"Orson Welles, Fred Fleck, Robert Wise",Drama,English,93,RKO Radio Pictures,Not Rated,88,The Magnificent Ambersons,1942,7.7,7
USA,William Wyler,Drama,English,,MGM Home Entertainment,Not Rated,134,Mrs. Miniver,1942,7.6,12
USA,Irving Pichel,Drama,English,,20th Century Fox Film Corporation,,87,The Pied Piper,1942,7.1,8
USA,Sam Wood,Biography,English,,MGM,Approved,128,The Pride of the Yankees,1942,7.7,3
USA,Mervyn LeRoy,Drama,English,,MGM Home Entertainment,Passed,126,Random Harvest,1942,8,8
USA,George Stevens,Comedy,English,,Sony Pictures Entertainment,Approved,118,The Talk of the Town,1942,7.5,8
USA,John Farrow,Action,English,,MCA Universal Home Video,Approved,88,Wake Island,1942,6.8,8
USA,Michael Curtiz,Biography,English,,MGM Home Entertainment,Passed,126,Yankee Doodle Dandy,1942,7.7,6
USA,Sam Wood,Adventure,English,,MCA Universal Home Video,Passed,170,For Whom the Bell Tolls,1943,6.9,7
USA,Ernst Lubitsch,Comedy,English,,20th Century Fox Film Corporation,Not Rated,112,Heaven Can Wait,1943,7.5,8
USA,Clarence Brown,Comedy,English,,Warner Home Video,Passed,117,The Human Comedy,1943,7.1,2
USA,"Mervyn LeRoy, Albert Lewin",Biography,English,,Warner Bros. Pictures,Not Rated,124,Madame Curie,1943,7.2,2
USA,George Stevens,Comedy,English,,Columbia Pictures,Passed,104,The More the Merrier,1943,7.8,5
USA,Henry King,Biography,English,,Twentieth Century Fox Home Entertainment,Approved,156,The Song of Bernadette,1943,7.6,4
USA,"Herman Shumlin, Hal Mohr",Drama,English,,Warner Home Video,Approved,114,Watch on the Rhine,1943,7.4,8
USA,Billy Wilder,Crime,English,95,Paramount Pictures,Passed,107,Double Indemnity,1944,8.3,7
USA,George Cukor,Crime,English,,MGM,Not Rated,114,Gaslight,1944,7.8,10
USA,Leo McCarey,Comedy,English,,Paramount Pictures,Passed,126,Going My Way,1944,7.1,10
USA,"John Cromwell, Edward F. Cline, Tay Garnett, David O. Selznick",Drama,English,,United Artists,Approved,177,Since You Went Away,1944,7.6,7
USA,Henry King,Biography,English,,Twentieth Century Fox Film Cor,Passed,154,Wilson,1944,6.8,8
USA,George Sidney,Comedy,English,,MGM Home Entertainment,Passed,140,Anchors Aweigh,1945,7.1,8
USA,Leo McCarey,Drama,English,,RKO Radio Pictures,Unrated,126,The Bells of St. Mary's,1945,7.3,2
USA,Billy Wilder,Drama,English,,Paramount Pictures,Not Rated,101,The Lost Weekend,1945,7.9,1
USA,Michael Curtiz,Crime,English,,MGM Home Entertainment,Passed,111,Mildred Pierce,1945,8,10
USA,Alfred Hitchcock,Film-Noir,English,,Twentieth Century Fox Home Entertainment,Approved,111,Spellbound,1945,7.6,12
USA,William Wyler,Drama,English,92,RKO Radio Pictures,Approved,170,The Best Years of Our Lives,1946,8,5
USA,Frank Capra,Drama,English,89,Liberty Films,Not Rated,130,It's a Wonderful Life,1946,8.6,1
USA,Edmund Goulding,Drama,English,,Twentieth Century Fox,Approved,145,The Razor's Edge,1946,7.4,12
USA,Clarence Brown,Drama,English,89,MGM Home Entertainment,Approved,128,The Yearling,1946,7.2,5
