Year,Category,Winner,Title,month,Rated,Runtime,Country,Director,Genre,Language,Production,Metascore,imdbRating
1934,OUTSTANDING PRODUCTION,False,The Thin Man,5,Not Rated,91,USA,W.S. Van Dyke,Comedy,English,MGM,,8.0
1934,OUTSTANDING PRODUCTION,False,Viva Villa!,4,,115,USA,"Jack Conway, Howard Hawks, William A. Wellman",Biography,English,MGM,,6.5
1934,OUTSTANDING PRODUCTION,False,The White Parade,11,APPROVED,80,USA,Irving Cummings,Drama,English,,,7.0
1935,OUTSTANDING PRODUCTION,False,Alice Adams,11,Passed,99,USA,George Stevens,Comedy,English,Turner Home Entertainment,,7.0
1935,OUTSTANDING PRODUCTION,False,Broadway Melody of 1936,9,Passed,101,USA,"Roy Del Ruth, W.S. Van Dyke",Musical,English,MGM,,6.8
1935,OUTSTANDING PRODUCTION,False,Captain Blood,12,Passed,119,USA,Michael Curtiz,Action,English,Twentieth Century Fox Home Entertainment,,7.7
1935,OUTSTANDING PRODUCTION,False,David Copperfield,6,Passed,130,USA,George Cukor,Adventure,English,WARNER BROTHERS PICTURES,,7.5
1935,OUTSTANDING PRODUCTION,False,The Informer,5,Approved,91,USA,John Ford,Crime,English,Media Home Entertainment,,7.5
1935,OUTSTANDING PRODUCTION,False,The Lives of a Bengal Lancer,2,Passed,109,USA,Henry Hathaway,Adventure,English,Paramount Pictures,,7.2
1935,OUTSTANDING PRODUCTION,False,A Midsummer Night's Dream,10,Approved,133,USA,"William Dieterle, Max Reinhardt",Comedy,English,Warner Bros.,,6.9
1935,OUTSTANDING PRODUCTION,True,Mutiny on the Bounty,11,Not Rated,132,USA,Frank Lloyd,Adventure,English,MGM,87.0,7.7
1935,OUTSTANDING PRODUCTION,True,Mutiny on the Bounty,11,Not Rated,178,USA,"Lewis Milestone, Carol Reed",Adventure,English,WARNER BROTHERS PICTURES,,7.3
1962,BEST PICTURE,False,Mutiny on the Bounty,11,Not Rated,132,USA,Frank Lloyd,Adventure,English,MGM,87.0,7.7
1962,BEST PICTURE,False,Mutiny on the Bounty,11,Not Rated,178,USA,"Lewis Milestone, Carol Reed",Adventure,English,WARNER BROTHERS PICTURES,,7.3
1935,OUTSTANDING PRODUCTION,False,Naughty Marietta,3,G,105,USA,"Robert Z. Leonard, W.S. Van Dyke",Drama,English,MGM Home Entertainment,,6.7
1935,OUTSTANDING PRODUCTION,False,Ruggles of Red Gap,3,NOT RATED,90,USA,Leo McCarey,Comedy,English,MCA Universal Home Video,,7.7
1935,OUTSTANDING PRODUCTION,False,Top Hat,9,Not Rated,101,USA,Mark Sandrich,Comedy,English,Turner Home Entertainment,,7.8
1936,OUTSTANDING PRODUCTION,False,Anthony Adverse,8,NOT RATED,141,USA,"Mervyn LeRoy, Michael Curtiz",Adventure,English,Warner Bros.,,6.5
1936,OUTSTANDING PRODUCTION,False,Dodsworth,9,Passed,101,USA,William Wyler,Drama,English,Samuel Goldwyn Films,,7.8
1936,OUTSTANDING PRODUCTION,True,The Great Ziegfeld,4,Not Rated,176,USA,Robert Z. Leonard,Biography,English,MGM Home Entertainment,,6.8
1936,OUTSTANDING PRODUCTION,False,Libeled Lady,10,Not Rated,98,USA,Jack Conway,Comedy,English,Warner Home Video,,7.8
1936,OUTSTANDING PRODUCTION,False,Mr. Deeds Goes to Town,4,Not Rated,115,USA,Frank Capra,Comedy,English,Columbia Pictures,,8.0
1936,OUTSTANDING PRODUCTION,False,Romeo and Juliet,9,Passed,125,USA,George Cukor,Drama,English,MGM,,6.7
1936,OUTSTANDING PRODUCTION,False,Romeo and Juliet,10,PG,138,UK,Franco Zeffirelli,Drama,English,Paramount Home Video,,7.6
1968,BEST PICTURE,False,Romeo and Juliet,9,Passed,125,USA,George Cukor,Drama,English,MGM,,6.7
1968,BEST PICTURE,False,Romeo and Juliet,10,PG,138,UK,Franco Zeffirelli,Drama,English,Paramount Home Video,,7.6
1936,OUTSTANDING PRODUCTION,False,San Francisco,6,Unrated,115,USA,W.S. Van Dyke,Drama,English,MGM,,7.2
1936,OUTSTANDING PRODUCTION,False,The Story of Louis Pasteur,2,UNRATED,86,USA,William Dieterle,Biography,English,MGM Home Entertainment,,7.4
1936,OUTSTANDING PRODUCTION,False,A Tale of Two Cities,12,Passed,128,USA,"Jack Conway, Robert Z. Leonard",Drama,English,Warner Home Video,,7.8
1936,OUTSTANDING PRODUCTION,False,Three Smart Girls,12,APPROVED,84,USA,Henry Koster,Comedy,English,Universal Pictures,,6.8
1937,OUTSTANDING PRODUCTION,False,The Awful Truth,10,Not Rated,90,USA,Leo McCarey,Comedy,English,Columbia,,7.7
1937,OUTSTANDING PRODUCTION,False,Captains Courageous,6,Passed,117,USA,Victor Fleming,Adventure,English,MGM Home Entertainment,,8.0
1937,OUTSTANDING PRODUCTION,False,Dead End,8,Approved,93,USA,William Wyler,Crime,English,MGM,,7.4
